zip_code,city,state,latitude,longitude
1001,sao paulo,SP,-23.550214793274414,-46.634018776332134
1001,são paulo,SP,-23.549997981678136,-46.63406019929013
1002,sao paulo,SP,-23.548437764688757,-46.63512916227373
1002,são paulo,SP,-23.54464133666111,-46.63317979239999
1003,sao paulo,SP,-23.548988128760268,-46.63578551623726
1003,são paulo,SP,-23.5490832616594,-46.63486400979368
1004,sao paulo,SP,-23.5498127407841,-46.63477259976395
1004,são paulo,SP,-23.54950697362805,-46.634428168330544
1005,sao paulo,SP,-23.549419344825484,-46.63687812524338
1005,são paulo,SP,-23.549880032391272,-46.63506341016249
1006,sao paulo,SP,-23.550074884817366,-46.63607837227696
1006,são paulo,SP,-23.550317224536894,-46.63660363835193
1007,sao paulo,SP,-23.550212530841325,-46.637099622726765
1007,são paulo,SP,-23.549131395658545,-46.63808656264749
1008,sao paulo,SP,-23.54586763009428,-46.635805154222574
1008,são paulo,SP,-23.5480135387212,-46.63709742838599
1009,sao paulo,SP,-23.54676030919384,-46.636455165163774
1009,são paulo,SP,-23.547199004080714,-46.63666327031889
1010,sao paulo,SP,-23.546306054841207,-46.63517339109558
1010,são paulo,SP,-23.547806958346342,-46.63612181853806
1011,sao paulo,SP,-23.546959970436102,-46.635613806961175
1011,são paulo,SP,-23.546690486964888,-46.6354469588072
1012,sao paulo,SP,-23.54783989246942,-46.634833529176376
1012,são paulo,SP,-23.54755565630828,-46.634977892501944
1013,sao paulo,SP,-23.547101617556628,-46.63424402477062
1013,são paulo,SP,-23.547505725229378,-46.63416177768481
1014,sao paulo,SP,-23.54593818053967,-46.633617282366274
1014,são paulo,SP,-23.545840306121136,-46.6336099108983
1015,sao paulo,SP,-23.547454278448868,-46.63183342515779
1015,são paulo,SP,-23.54956898779498,-46.62908488080666
1016,sao paulo,SP,-23.54893396488579,-46.63235213200858
1016,são paulo,SP,-23.54944327061568,-46.63234970260834
1017,sao paulo,SP,-23.54947809118469,-46.631056128281266
1017,são paulo,SP,-23.5499141734427,-46.63079140990322
1018,sao paulo,SP,-23.550754999730117,-46.63239207676327
1018,são paulo,SP,-23.552143145161256,-46.63270720967747
1019,sao paulo,SP,-23.551789527484043,-46.63088023190772
1019,são paulo,SP,-23.551693342006175,-46.63096242436811
1020,sao paulo,SP,-23.552344067961293,-46.630082893797734
1020,são paulo,SP,-23.552205197198322,-46.62953535858965
1021,sao paulo,SP,-23.543027524790766,-46.632122401238675
1021,são paulo,SP,-23.54271626894223,-46.63236197641235
1022,sao paulo,SP,-23.544934769041483,-46.631854277469955
1022,são paulo,SP,-23.544714739944567,-46.63316426588382
1023,sao paulo,SP,-23.54215663880199,-46.63126734408321
1023,são paulo,SP,-23.542853221039852,-46.631691585300786
1024,sao paulo,SP,-23.541406197470792,-46.629905965677004
1024,são paulo,SP,-23.541389521053937,-46.62989908781218
1025,sao paulo,SP,-23.540338851455246,-46.63075711370861
1025,são paulo,SP,-23.54019813411849,-46.631269950841094
1026,sao paulo,SP,-23.539675717709045,-46.63179955263257
1026,são paulo,SP,-23.539530712291874,-46.632459901203774
1027,sao paulo,SP,-23.538103121399242,-46.63080096451952
1027,são paulo,SP,-23.538006087334338,-46.630183613744805
1028,sao paulo,SP,-23.535886466807458,-46.63379348046472
1028,são paulo,SP,-23.53608228289304,-46.63278055796226
1029,sao paulo,SP,-23.541952967678206,-46.63347113741899
1029,são paulo,SP,-23.537313618096828,-46.63302994561133
1030,sao paulo,SP,-23.539722581353658,-46.632999440267156
1030,são paulo,SP,-23.538769488552415,-46.63313040212222
1031,sao paulo,SP,-23.541805298880647,-46.63503792976119
1031,são paulo,SP,-23.543363894557572,-46.635808080671424
1032,sao paulo,SP,-23.54015004249472,-46.63518414213056
1032,são paulo,SP,-23.539985548628376,-46.635244581419215
1033,sao paulo,SP,-23.539158158594343,-46.63581069264758
1033,são paulo,SP,-23.54048918077505,-46.63660254356295
1034,sao paulo,SP,-23.542532349715447,-46.63740017467173
1034,são paulo,SP,-23.542106542327883,-46.63658202790115
1035,sao paulo,SP,-23.54166766095784,-46.64145402146297
1035,são paulo,SP,-23.540976422112156,-46.6426905952891
1036,sao paulo,SP,-23.541616570412113,-46.641498519810064
1036,são paulo,SP,-23.54282808353057,-46.63939930668248
1037,sao paulo,SP,-23.54553519182755,-46.639007207040976
1037,são paulo,SP,-23.544728051899995,-46.63846877958915
1038,sao paulo,SP,-23.54390737962768,-46.63999380609391
1039,sao paulo,SP,-23.54145707076695,-46.639287404622124
1039,são paulo,SP,-23.539819023861785,-46.63696720497428
1040,sao paulo,SP,-23.540955306229694,-46.638236001091066
1040,são paulo,SP,-23.541295379198957,-46.63864990585668
1041,sao paulo,SP,-23.543891921378936,-46.64005812418926
1041,são paulo,SP,-23.54395525178605,-46.639999935466584
1042,sao paulo,SP,-23.54479783809495,-46.64049096745711
1042,são paulo,SP,-23.545018283842147,-46.64016892175546
1043,sao paulo,SP,-23.545321767816922,-46.641851275289945
1043,são paulo,SP,-23.546284251784083,-46.641095518668095
1044,sao paulo,SP,-23.545639524493144,-46.64141929880551
1044,são paulo,SP,-23.544896375238064,-46.64201998306312
1045,sao paulo,SP,-23.542332874622467,-46.64249029842221
1045,são paulo,SP,-23.542482773295564,-46.64293042576988
1046,sao paulo,SP,-23.545920759894397,-46.64399358514768
1046,são paulo,SP,-23.54600253350018,-46.64402824148604
1047,sao paulo,SP,-23.546173586868402,-46.6410206646001
